epoch,total_loss,physics_loss,reg_breach,inv_alpha,E_soft_%,shear_pen
1,41563.9375,7.333631586118466e-15,41539.05859375,24.880008697509766,21.381133794784546,0.0
2,38268.3359375,6.053948185450299e-15,38243.5078125,24.827613830566406,20.555947721004486,0.0
3,35591.49609375,2.1498648266346856e-14,35566.71875,24.775442123413086,19.8591411113739,0.0
4,33484.65234375,1.0941122038584956e-14,33459.9296875,24.723487854003906,19.292056560516357,0.0
5,31905.552734375,1.2282159000238067e-14,31880.880859375,24.671749114990234,18.855218589305878,0.0
6,30819.01953125,3.741418643405129e-15,30794.3984375,24.620229721069336,18.548333644866943,0.0
7,30197.82421875,1.4753011705619275e-14,30173.255859375,24.568923950195312,18.370451033115387,0.0
8,30022.58203125,7.20664779479789e-15,29998.064453125,24.51782989501953,18.319949507713318,0.0
9,30035.001953125,1.183296895797964e-14,30010.53515625,24.466951370239258,18.32354962825775,0.0
10,30020.373046875,1.0379871231470678e-14,29995.95703125,24.41628074645996,18.31934154033661,0.0
11,29894.482421875,8.243800675195208e-15,29870.1171875,24.36581802368164,18.282973766326904,0.0
12,29637.400390625,4.9316837404469755e-15,29613.083984375,24.315568923950195,18.208453059196472,0.0
13,29261.3828125,9.032392584253698e-15,29237.1171875,24.265522003173828,18.09886544942856,0.0
14,28793.943359375,2.018020209691349e-15,28769.728515625,24.215681076049805,17.961642146110535,0.0
15,28269.177734375,2.1006889736291216e-14,28245.01171875,24.166048049926758,17.80625283718109,0.0
16,27722.22265625,2.4615209434013068e-15,27698.10546875,24.116613388061523,17.64274835586548,0.0
17,27187.05859375,9.74470832937899e-15,27162.990234375,24.0673828125,17.4811989068985,0.0
18,26695.12890625,4.52649028353483e-15,26671.111328125,24.018354415893555,17.33129322528839,0.0
19,26274.708984375,3.755416709891454e-15,26250.740234375,23.96952247619629,17.20208078622818,0.0
20,25951.04296875,9.510313984082992e-15,25927.123046875,23.920888900756836,17.10190176963806,0.0
21,25708.484375,3.2718098131619524e-15,25684.611328125,23.872455596923828,17.026419937610626,0.0
22,25481.822265625,1.1286847853369218e-14,25457.998046875,23.824216842651367,16.95556342601776,0.0
23,25242.021484375,1.0345263159311762e-14,25218.24609375,23.776168823242188,16.880254447460175,0.0
24,24984.232421875,1.3827830651618345e-14,24960.50390625,23.728317260742188,16.798894107341766,0.0
25,24719.109375,1.0064353999717293e-14,24695.4296875,23.680660247802734,16.714780032634735,0.0
26,24466.849609375,5.071491610588981e-15,24443.216796875,23.633188247680664,16.634327173233032,0.0
27,24252.79296875,7.790008702934347e-15,24229.20703125,23.58591079711914,16.565734148025513,0.0
28,24066.16015625,4.988356597365393e-15,24042.62109375,23.538822174072266,16.505683958530426,0.0
29,23879.83203125,1.1693202592452049e-14,23856.33984375,23.491918563842773,16.445498168468475,0.0
30,23683.71484375,1.1358492441146829e-14,23660.26953125,23.445201873779297,16.381895542144775,0.0
31,23479.376953125,8.55243915238394e-15,23455.978515625,23.39867401123047,16.315345466136932,0.0
32,23275.9453125,4.1323908406493484e-15,23252.59375,23.352327346801758,16.248801350593567,0.0
33,23087.455078125,5.3066376976256685e-15,23064.1484375,23.306163787841797,16.18688553571701,0.0
34,22930.5625,2.357766522439412e-14,22907.302734375,23.26018524169922,16.135159134864807,0.0
35,22789.92578125,4.280463634774188e-15,22766.7109375,23.214384078979492,16.088642179965973,0.0
36,22644.51953125,5.989126871579296e-15,22621.3515625,23.168764114379883,16.040396690368652,0.0
37,22491.046875,7.731078079695024e-15,22467.923828125,23.12332534790039,15.989305078983307,0.0
38,22338.142578125,1.0740058439763413e-14,22315.064453125,23.078062057495117,15.938228368759155,0.0
39,22198.064453125,5.918482206195919e-15,22175.03125,23.032974243164062,15.891283750534058,0.0
40,22069.134765625,4.46975516969479e-15,22046.146484375,22.988065719604492,15.847945213317871,0.0
41,21936.154296875,6.8924620988375894e-15,21913.2109375,22.943330764770508,15.803112089633942,0.0
42,21799.046875,9.67483742859293e-15,21776.1484375,22.898767471313477,15.756744146347046,0.0
43,21668.078125,1.2098646771116581e-14,21645.224609375,22.854381561279297,15.712316334247589,0.0
44,21536.642578125,6.396108415043095e-15,21513.83203125,22.810163497924805,15.667594969272614,0.0
45,21395.509765625,8.280323888847866e-15,21372.744140625,22.766117095947266,15.619421005249023,0.0
46,21245.59765625,1.09684100520137e-14,21222.875,22.72224235534668,15.568073093891144,0.0
47,21094.857421875,3.642846878234305e-15,21072.1796875,22.67853355407715,15.516260266304016,0.0
48,20955.953125,6.121176343440926e-15,20933.318359375,22.634992599487305,15.468351542949677,0.0
49,20818.5546875,1.2218368948980346e-14,20795.962890625,22.59162139892578,15.420806407928467,0.0
50,20670.75390625,6.737689274099968e-15,20648.205078125,22.54841423034668,15.369483828544617,0.0
51,20514.509765625,4.164301959904207e-15,20492.00390625,22.50537109375,15.31502902507782,0.0
52,20361.390625,6.658016931564755e-15,20338.927734375,22.462493896484375,15.261462330818176,0.0
53,20229.5078125,4.358116650763147e-15,20207.087890625,22.419780731201172,15.215164422988892,0.0
54,20106.5,6.7399597459150834e-15,20084.123046875,22.377225875854492,15.171846747398376,0.0
55,19975.294921875,9.967018055616512e-15,19952.9609375,22.334835052490234,15.125495195388794,0.0
